,geomaster_name,individuals,source,population_groups_concat
0,Germany,1243447,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
1,Russian Federation,1223795,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
2,Poland,999708,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
3,Czech Republic,401348,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
4,United Kingdom,254034,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
5,Spain,235680,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
6,Romania,182438,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
7,Italy,170998,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
8,Slovakia,132736,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
9,Republic of Moldova,127786,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
10,Netherlands,124029,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
11,Ireland,115012,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
12,Belgium,90032,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
13,Austria,81683,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
14,Norway,80345,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
15,Bulgaria,77362,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
16,Finland,70997,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
17,France,70113,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
18,Switzerland,69141,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
19,Portugal,65764,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
20,Hungary,63667,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
21,Latvia,48556,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
22,Belarus,44260,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
23,Lithuania,43834,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
24,Estonia,42731,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
25,Denmark,35652,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
26,TÃ¼rkiye,35171,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
27,Greece,33561,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
28,Sweden,31474,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
29,Georgia,29800,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
30,Croatia,26250,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
31,North Macedonia,19327,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
32,Montenegro,18868,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
33,Cyprus,18742,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
34,Slovenia,13252,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
35,Serbia and Kosovo: S/RES/1244 (1999),10964,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
36,Albania,6465,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
37,Iceland,5713,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
38,Azerbaijan,4901,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
39,Luxembourg,4001,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
40,Malta,2327,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
41,Liechtenstein,731,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
42,Armenia,606,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
43,Bosnia and Herzegovina,277,"Government, UNHCR",Individual refugees from Ukraine recorded across Europe (cumulative)
